ID,time,A_m,P_m,R_s,AR_s,AR_e,A_e,R_e,AR_l,A_l,R_l,P_c,A_cat,Nc_1,Nc_2,Nc_3,Nc_4,hours
7,3600,2469622131735.34,786481073361.9619,324.53049394634473,2595.948740506601,515.1219490815768,38.047402792243105,41.985184107580324,464.36975109766365,45.430788617355354,39.67861310191238,3371.443634049251,13123324.15879355,90725.64198137828,3.5458568851718084,2.75655282692347,3.5172010963135225,1
7,7200,937039397256.8214,1266891641325.5361,770.3263781967764,2967.810778368836,421.38275189251317,42.80400742065103,48.721540244885304,589.1007689348006,46.74341906015662,59.449406889259286,4398.502168327649,20915784.785038605,87804.86481592097,2.5627111774099145,3.405878347834917,2.388421580775361,2
7,10800,174154339299.3421,1493836524193.6077,5392.873607266478,2439.100327964985,447.9110821634184,29.16217274541111,141.42849021531862,343.2261461600562,38.32140670867094,169.57647465896486,5891.067384261129,30070658.64095132,67761.42100743724,2.065687959338464,2.9546605918367645,2.279589762085654,3
7,14400,1448.2166418526588,2268838379276.88,17799.13911224942,1.1684625385559843e-4,2.005387190329771e-5,2.0053823576600802e-6,585.509282730082,2.5567936104075404e-5,2.4646831723731835e-6,491.07366516162807,7786.368378110893,34221260.90316739,52667.28838236137,2.797903195081648,2.1343986712633716,2.273478521275879,4
7,18000,6.317846581717322e-6,2096701592790.9214,22501.125190360435,4.934981008823245e-13,7.428926070357369e-14,9.778439643547959e-15,508.1447345411028,1.0971564550202334e-13,9.208266005961692e-15,585.3528641543089,7833.170732805059,27793712.47523693,68101.11560239535,2.2755759763143883,1.9354000065783887,1.6482036123378496,5
7,21600,6.188382024133339e-12,2906543479917.5127,19018.33373253371,2.664207019324157e-19,3.985987673636052e-20,4.6840529086362686e-21,484.34434264395355,5.789546852592357e-20,5.322021148503195e-21,592.7125807414551,7645.3880734011955,39710509.16281529,49513.75184815892,1.6944079010157473,1.9853276713462293,1.586843238943122,6
7,25200,-1.5573267142915893e-13,2163603316137.6711,22074.745726869463,-1.470228119088961e-20,-2.3437159440329235e-21,-1.767139676831237e-22,493.55722657197947,-2.475193906361521e-21,-2.1584476470435355e-22,501.31849595315555,5602.592594996236,30794960.614440937,42259.519666046566,1.138284033392874,1.4462860877224462,1.904726533724949,7
7,28800,7.778010386938414e-13,1866533013601.87,18778.324203077642,6.899406130858164e-20,1.0218560742582062e-20,1.0908945231469823e-21,530.7171295774249,8.833982732863994e-21,1.5069798093301425e-21,523.2960530445284,6439.256026986509,33745539.74635292,30816.08709214621,1.0914060113442323,1.1238059568710794,1.2524027117385996,8
8,3600,2180059036703.59,644105666770.5458,325.46135590944573,2208.2687621218615,557.2740469322257,50.05891783731551,81.11483080205166,495.00289989947805,47.900582247951114,90.58104788359373,3223.2646574185214,11249642.997108754,86843.17608136393,2.981711561644963,3.299735702234464,3.417896442089629,1
8,7200,1044862717678.2904,1427059402639.8076,310.9758083949036,1737.8074430439483,589.2195576200003,48.05019631173788,44.176824231517024,543.2513441295908,64.5508987228882,58.31327634078696,5485.969942647466,15797447.549762037,67778.87408276681,2.2122044720182097,3.2301113019502696,1.9568649122107684,2
8,10800,618675121315.246,1928877630880.9836,962.3779806318205,1477.8405124837225,432.04586377683023,55.15505118757009,91.47069401735395,531.1611682143651,55.90099457771405,84.11605547228159,8005.046101593754,24955088.11677799,81866.97690737905,2.627627825867611,2.762267236494147,2.5751974727768387,3
8,14400,25692082029.36331,2115290945924.7112,10457.014297044945,817.4741249210753,268.0384385981183,23.024570993768286,241.46996435839534,191.95276212770193,20.0223668916357,371.9239284821231,10488.26337948708,47646515.55404293,58436.252101285776,2.0538218783185687,1.9741734722678825,2.465134618335872,4
8,18000,462.6352781793242,2905196513310.9536,18654.740945019188,3.6443551061241265e-5,7.090585590983391e-6,7.74632353659989e-7,529.2340488810745,7.407415085251953e-6,9.669724927509618e-7,494.90846662629156,8274.235270872818,36658354.96527141,74566.92083605607,2.4837772019854194,1.9258336037779589,1.8443239517519805,5
8,21600,3.8522307086532054e-5,2054199569526.5503,19399.87207267278,2.4570420853960308e-12,7.307256802612232e-13,7.452468634036841e-14,415.4203948729213,6.435768469422138e-13,8.329270168900724e-14,648.4068829811192,9404.281411623848,24860813.97318354,48079.38468166915,1.5338395505826334,1.5031395360194728,1.726262144135492,6
8,25200,3.110768067025149e-11,3027086632564.7983,18667.99533462231,2.1715261230288667e-18,4.440559674509951e-19,5.95539872050172e-20,508.73889556504423,6.883042949277616e-19,7.156643128988484e-20,491.9397630754921,11166.424604927446,44936264.26974421,47885.51587549155,1.3448771130430035,1.4168164434910786,1.5576138564616755,7
